asset_name,asset_code,asset_type,location,manager,is_active,start_date,end_date,parent
"Fuentes, Schultz and Williams Projector 701",CODE-00058,Projector,London Office,Jared Dodson,True,2020-11-28,,
"Griffin, Hernandez and Smith Projector 911",CODE-00059,Projector,London Office,William Ford,True,2025-09-24,,
Brown-Smith Laptop 980,CODE-00060,Laptop,Storage Room,Heather Nguyen,True,2025-05-07,,
"Khan, Ortiz and Carey Monitor 398",CODE-00061,Monitor,Storage Room,Megan Molina,True,2025-09-07,,
Williams PLC Projector 444,CODE-00062,Projector,Remote (Home),John Hammond,True,2021-01-27,,
Ponce LLC Desktop 244,CODE-00063,Desktop,Remote (Home),David Howard,True,2024-09-17,,
Griffin Ltd Monitor 325,CODE-00064,Monitor,Building A,Jeffrey Novak,True,2025-07-08,,
Scott-Barber Phone 882,CODE-00065,Phone,Data Center 1,Samantha Wheeler,True,2024-10-30,,
"Miller, Smith and Anderson Monitor 133",CODE-00066,Monitor,New York Office,Christopher Jenkins,True,2024-12-10,,
Torres and Sons Phone 936,CODE-00067,Phone,Data Center 1,Michael Brown,True,2025-05-31,,
Jackson-Stevens Monitor 908,CODE-00068,Monitor,Remote (Home),Christopher Weber,True,2023-09-21,,
"Mendoza, Tran and Mcmillan Server 927",CODE-00069,Server,Building A,Edward Harris,True,2025-09-21,,
"Gray, Wood and Smith Printer 280",CODE-00070,Printer,Remote (Home),Daniel Manning,True,2025-09-18,,
Owens Group Monitor 530,CODE-00071,Monitor,Building B,Joshua Clark,True,2025-08-07,,
Evans-Taylor Projector 587,CODE-00072,Projector,Remote (Home),Chelsea Thomas,True,2022-01-14,,
Morgan-Rice Projector 365,CODE-00073,Projector,Building B,James Sanders,True,2022-11-12,,
Ross-Lewis Projector 237,CODE-00074,Projector,New York Office,Kevin Ramos PhD,True,2021-05-22,,
Berger PLC Desktop 770,CODE-00075,Desktop,Remote (Home),Timothy Cain,True,2021-08-19,,
Hill-Hernandez Laptop 785,CODE-00076,Laptop,Building A,Marcus Sanders,True,2022-06-27,,
Smith-Jordan Printer 881,CODE-00077,Printer,Remote (Home),Kimberly Edwards,True,2021-01-11,,
Thomas-Carpenter Projector 786,CODE-00078,Projector,Remote (Home),Anne Jones,True,2025-08-26,,
"Ortiz, Smith and Flores Router 622",CODE-00079,Router,London Office,Alexis Harper,True,2021-06-25,,
Barnett Inc Projector 638,CODE-00080,Projector,Data Center 1,Sherri Harvey,True,2024-11-10,,
Robles-Knight Monitor 811,CODE-00081,Monitor,Storage Room,Barbara Adams,True,2021-04-12,,
"Farrell, Diaz and Phillips Desktop 474",CODE-00082,Desktop,Storage Room,Devon Hudson,True,2024-04-03,,
Davis-Scott Printer 384,CODE-00083,Printer,Data Center 1,Deborah Smith,True,2022-12-28,,
"Powell, Lucas and Villa Laptop 165",CODE-00084,Laptop,London Office,Jenna Ortega,True,2022-07-28,,
Parks Ltd Phone 183,CODE-00085,Phone,Building B,Sean Evans,True,2022-01-28,,
Franco Group Phone 105,CODE-00086,Phone,Data Center 1,Cynthia Brooks,True,2023-09-01,,
Phillips-Walton Router 769,CODE-00087,Router,Remote (Home),Mrs. Kimberly Griffin,False,2023-08-06,2025-04-08,
Mitchell LLC Laptop 822,CODE-00088,Laptop,Remote (Home),Rachel Cohen,True,2022-09-27,,
"Brown, Barnes and Davis Projector 692",CODE-00089,Projector,Data Center 1,Sherry Blackburn,True,2023-11-08,,
"Black, Dougherty and Hernandez Server 236",CODE-00090,Server,Building B,Aaron Parrish,True,2025-08-16,,
Smith Inc Monitor 313,CODE-00091,Monitor,Data Center 1,Robert Garcia,True,2024-08-23,,
Davis Group Projector 674,CODE-00092,Projector,Remote (Home),Cynthia Ryan,True,2024-05-24,,
Rodriguez Ltd Phone 560,CODE-00093,Phone,Building A,Rebecca Ellis,True,2023-05-13,,
"Young, Young and Delgado Software License 880",CODE-00094,Software License,Storage Room,Emily Pineda,True,2021-03-25,,
Ali and Sons Server 108,CODE-00095,Server,Data Center 1,John Anderson,True,2020-12-31,,
"Ochoa, Hunter and Gould Phone 666",CODE-00096,Phone,London Office,Philip Martinez,True,2021-05-06,,
Daniel-Miller Software License 385,CODE-00097,Software License,Data Center 1,Dana Nguyen,True,2024-06-07,,
"Burch, Cline and Williams Printer 683",CODE-00098,Printer,Remote (Home),Daniel Shields,True,2022-06-17,,
"Snyder, Mendez and Peterson Software License 746",CODE-00099,Software License,London Office,Sharon Hutchinson,True,2021-08-20,,
"Hunt, Berger and Schneider Monitor 537",CODE-00100,Monitor,Storage Room,David Green,True,2022-05-12,,
"Estrada, Davidson and Bell Router 247",CODE-00101,Router,Building A,Nichole Lee,True,2023-05-11,,
Smith Inc Laptop 487,CODE-00102,Laptop,Storage Room,Karen Church,True,2024-05-26,,
"Mcmillan, Patrick and Holmes Laptop 794",CODE-00103,Laptop,Building A,Eric Green,True,2023-03-22,,
Jones Group Router 309,CODE-00104,Router,Storage Room,Mr. Joel Castro,True,2023-10-18,,
Williams-Moreno Projector 485,CODE-00105,Projector,Building B,Kyle Harvey,True,2024-05-11,,
Roberts-Grant Printer 359,CODE-00106,Printer,Remote (Home),Sharon Larsen,False,2023-06-09,2025-09-06,
Oliver-Hall Phone 575,CODE-00107,Phone,Remote (Home),Randall Lucero DDS,True,2023-09-17,,
Mckinney-Hill Server 598,CODE-00108,Server,Data Center 1,Jennifer Clark,True,2022-07-16,,
Owens PLC Printer 434,CODE-00109,Printer,Building A,Ashley Whitaker,False,2025-03-03,2025-05-22,
Long Group Laptop 898,CODE-00110,Laptop,Remote (Home),Karen Paul,True,2020-11-15,,
Fritz Inc Laptop 190,CODE-00111,Laptop,Remote (Home),Kenneth Sanchez,True,2025-07-30,,
"Rivera, Jefferson and Curtis Software License 875",CODE-00112,Software License,New York Office,Jamie Cook,True,2020-11-07,,
Marshall PLC Desktop 827,CODE-00113,Desktop,New York Office,Danny Howard,True,2022-05-03,,
"Fowler, Gomez and Grant Server 138",CODE-00114,Server,London Office,Jamie Baker,True,2024-03-11,,
Brown-Hopkins Projector 785,CODE-00115,Projector,Building B,Jordan Navarro,True,2022-04-24,,
Dodson-Griffin Phone 681,CODE-00116,Phone,Building A,Christina Aguilar,True,2025-08-21,,
Woods Inc Laptop 521,CODE-00117,Laptop,Building B,Jordan Bell,True,2025-07-03,,
Rush-Sharp Server 734,CODE-00118,Server,Remote (Home),Nicholas Kirk,True,2023-04-15,,
Pugh-Owens Laptop 826,CODE-00119,Laptop,Building B,Elizabeth Stephens,True,2024-04-13,,
"Ferrell, Rose and Bowman Server 271",CODE-00120,Server,London Office,Debra Ellis,True,2024-01-15,,
"Brown, Thomas and Oneal Desktop 287",CODE-00121,Desktop,London Office,Dominique Pittman,True,2024-02-23,,
Rivera LLC Phone 629,CODE-00122,Phone,New York Office,Thomas Leonard,True,2024-12-28,,
"Romero, Patton and Nunez Phone 476",CODE-00123,Phone,Storage Room,Timothy Murphy,True,2021-08-30,,
"Lopez, Campbell and Robinson Printer 281",CODE-00124,Printer,Storage Room,Christine Simpson,True,2023-07-17,,
Brooks-Hill Monitor 495,CODE-00125,Monitor,London Office,Christine Perez,False,2022-11-11,2024-12-24,
"Bruce, Mcbride and Dickson Laptop 796",CODE-00126,Laptop,Data Center 1,Christopher Roberts,True,2022-06-30,,
"Carter, Holland and Stevens Desktop 588",CODE-00127,Desktop,New York Office,Kendra Williams,True,2024-08-23,,
Wolfe and Sons Laptop 896,CODE-00128,Laptop,Remote (Home),Tammy Adams,True,2025-03-31,,
Carroll-Mcmillan Phone 988,CODE-00129,Phone,Data Center 1,Brandon Nguyen,True,2021-12-14,,
"Johnson, Taylor and Collins Laptop 362",CODE-00130,Laptop,Storage Room,Kristen Bender,True,2021-01-20,,
"Perez, Carr and Anderson Router 336",CODE-00131,Router,Building B,Krista Lynch,True,2023-04-20,,
Kennedy and Sons Server 605,CODE-00132,Server,Remote (Home),Jim Stephenson,True,2023-05-06,,
Baker-Sanders Desktop 555,CODE-00133,Desktop,Storage Room,Tammy Rogers,True,2025-04-09,,
"Fisher, Davis and West Phone 130",CODE-00134,Phone,Building A,Aaron Carter,True,2021-06-25,,
Crawford Inc Phone 467,CODE-00135,Phone,Remote (Home),Kevin Hernandez,False,2023-07-29,2024-05-14,
Robbins and Sons Router 803,CODE-00136,Router,Building B,Dwayne Robinson,True,2025-09-26,,
"Higgins, Jackson and Green Phone 905",CODE-00137,Phone,New York Office,Sarah Ayers,True,2022-03-03,,
Campbell-Brown Software License 911,CODE-00138,Software License,London Office,Audrey Hall,True,2024-04-05,,
Brown-Barron Monitor 860,CODE-00139,Monitor,Storage Room,Christopher Houston,True,2022-03-01,,
Soto-Jordan Projector 535,CODE-00140,Projector,Storage Room,Thomas Smith,True,2021-02-27,,
Peterson-Rodriguez Projector 986,CODE-00141,Projector,Data Center 1,Nicole Berger,True,2023-11-28,,
Little-Carpenter Router 172,CODE-00142,Router,Remote (Home),Ashley Vasquez,True,2024-04-08,,
Sherman-Bailey Printer 884,CODE-00143,Printer,London Office,Shawn Hebert,True,2023-03-14,,
Odonnell LLC Router 766,CODE-00144,Router,London Office,Holly Green,True,2021-06-22,,
Hartman-Cole Laptop 853,CODE-00145,Laptop,Storage Room,Maria Porter,True,2023-02-21,,
Bryant LLC Monitor 218,CODE-00146,Monitor,Building A,Sheryl Peters,True,2022-09-20,,
Gates-Smith Router 100,CODE-00147,Router,London Office,Michael Coleman,False,2021-12-03,2025-05-10,
"Rice, Lewis and Kemp Desktop 838",CODE-00148,Desktop,Remote (Home),Nathan Hunter,False,2020-12-11,2025-07-16,
"Sellers, Gallegos and Riley Monitor 559",CODE-00149,Monitor,London Office,Duane Barton,False,2025-01-11,2025-08-15,
"Carrillo, Freeman and Phelps Projector 160",CODE-00150,Projector,New York Office,Alexis Porter,False,2021-04-14,2025-01-12,
"Lawrence, Ford and Weaver Laptop 889",CODE-00151,Laptop,Building A,Paula Brown,True,2020-12-09,,
Williams-Hughes Server 165,CODE-00152,Server,Building B,Dana Valenzuela,True,2025-10-24,,
"Murphy, Johnson and Romero Server 996",CODE-00153,Server,Data Center 1,John Mayo,True,2021-12-24,,
"Preston, Carter and Williamson Router 571",CODE-00154,Router,Data Center 1,Jennifer Mendoza,True,2021-09-09,,
"Morgan, Williams and Jones Software License 334",CODE-00155,Software License,Data Center 1,Mark Price,True,2025-03-01,,
"Curtis, Williams and French Desktop 148",CODE-00156,Desktop,London Office,Adam Reeves,True,2024-11-12,,
"Clayton, Romero and Glover Server 445",CODE-00157,Server,Building B,Angelica Cuevas,True,2024-11-09,,
"Martin, Jackson and Manning Router 619",CODE-00158,Router,London Office,David Potts,True,2024-07-09,,
Rodriguez PLC Router 717,CODE-00159,Router,Storage Room,Michael Wright,True,2022-08-04,,
Guerra PLC Software License 191,CODE-00160,Software License,New York Office,Ronald Davis,True,2025-09-03,,
Fisher-King Desktop 617,CODE-00161,Desktop,Building B,Paul Page,False,2023-04-09,2023-05-17,
"Morris, Hurley and Hines Server 786",CODE-00162,Server,Building A,Sarah Clark,True,2025-07-07,,
Johnson LLC Phone 398,CODE-00163,Phone,Storage Room,Jennifer Brock,True,2023-01-26,,
"Ford, Parks and Oliver Laptop 590",CODE-00164,Laptop,Storage Room,Melanie Thomas,False,2025-08-01,2025-08-04,
"Kim, Hartman and Parker Laptop 835",CODE-00165,Laptop,Data Center 1,Tiffany Bailey,True,2021-11-22,,
Ramirez-Roy Monitor 954,CODE-00166,Monitor,New York Office,Garrett Craig,True,2023-03-23,,
"Guzman, Fletcher and Cox Server 391",CODE-00167,Server,Remote (Home),John Hernandez,True,2020-12-05,,
"Lyons, Newman and Weiss Monitor 115",CODE-00168,Monitor,Building A,Morgan Smith,True,2025-01-24,,
"Patterson, Davis and Guerrero Desktop 563",CODE-00169,Desktop,New York Office,Paul Gonzalez,True,2025-09-16,,
Bullock-Thomas Phone 924,CODE-00170,Phone,Data Center 1,Jordan Williams,True,2023-04-03,,
Weaver-Garcia Software License 412,CODE-00171,Software License,London Office,Joyce Montgomery,True,2021-12-25,,
"Clark, Burns and Dean Router 717",CODE-00172,Router,Remote (Home),Kathy Mccarty,True,2023-01-17,,
Murphy Ltd Laptop 480,CODE-00173,Laptop,Data Center 1,Sarah Olson,True,2025-07-20,,
Williams-Rogers Phone 918,CODE-00174,Phone,Data Center 1,Peter Nicholson,True,2022-05-16,,
"Calderon, West and Patrick Laptop 955",CODE-00175,Laptop,Data Center 1,Donna Larson,True,2025-02-06,,
Thomas PLC Phone 439,CODE-00176,Phone,London Office,Christine Clark,True,2022-11-19,,
"Fields, Stephens and Lewis Desktop 467",CODE-00177,Desktop,Storage Room,Christopher Briggs,True,2021-08-22,,
Graham-Wilcox Phone 768,CODE-00178,Phone,New York Office,Nicole Johnson,True,2023-07-31,,
Burton Group Router 454,CODE-00179,Router,Building A,Cassandra Robinson,True,2021-12-26,,
Martinez-Murray Software License 655,CODE-00180,Software License,Remote (Home),Cindy Aguirre,True,2024-06-14,,
Clay-Franklin Printer 796,CODE-00181,Printer,Storage Room,Gary Meyer,True,2023-05-22,,
Moon-Jimenez Desktop 861,CODE-00182,Desktop,Data Center 1,Alicia Vincent,True,2023-07-18,,
Rivera-Harris Printer 825,CODE-00183,Printer,Building B,Douglas Miller,True,2025-07-27,,
"Vaughan, Bonilla and Ball Desktop 783",CODE-00184,Desktop,Building B,Taylor Adams,True,2024-03-31,,
Ortega Group Router 965,CODE-00185,Router,Building B,Andrew Ford,True,2025-01-24,,
"Rocha, Stewart and Collier Printer 407",CODE-00186,Printer,London Office,Michael Carpenter,True,2021-05-28,,
Miller-Kelly Printer 283,CODE-00187,Printer,Remote (Home),Michael Brown,True,2021-08-17,,
"Bautista, Watson and Curtis Projector 998",CODE-00188,Projector,Storage Room,Karen Estes,True,2025-05-07,,
Tate PLC Desktop 805,CODE-00189,Desktop,Remote (Home),Billy Cox,True,2021-07-31,,
"Burton, Allen and Morales Printer 124",CODE-00190,Printer,Building B,David Bolton,True,2023-02-16,,
Chavez-Maddox Router 567,CODE-00191,Router,Data Center 1,James Mendoza,True,2023-05-20,,
"Hunt, Wood and Harris Router 261",CODE-00192,Router,Remote (Home),Mrs. Cynthia Lynch,True,2024-04-10,,
Vincent-Lowery Desktop 486,CODE-00193,Desktop,Building B,Audrey Freeman,True,2021-04-29,,
White Inc Projector 354,CODE-00194,Projector,Remote (Home),Brad Hawkins,True,2022-10-20,,
Jackson-Harris Projector 893,CODE-00195,Projector,New York Office,Jodi Reeves,True,2022-08-29,,
Garcia-Green Server 874,CODE-00196,Server,New York Office,Derrick Stevenson,True,2022-06-04,,
Miranda-Jefferson Laptop 872,CODE-00197,Laptop,New York Office,Julie Gonzalez,True,2021-10-15,,
"Farrell, Parker and Mitchell Software License 613",CODE-00198,Software License,Data Center 1,Rachel Nolan,True,2021-01-25,,
"Andrews, Young and Davis Projector 159",CODE-00199,Projector,London Office,Diana Williams,True,2022-12-05,,
Flores-Ruiz Software License 711,CODE-00200,Software License,London Office,Mark Romero,True,2023-08-16,,
Barton-Torres Router 478,CODE-00201,Router,Storage Room,Robert Dickerson,True,2021-11-18,,
Robinson PLC Projector 406,CODE-00202,Projector,Storage Room,Erica Campos,True,2021-08-09,,
"Peterson, Shields and Spencer Monitor 952",CODE-00203,Monitor,Data Center 1,Susan Dunn,True,2025-04-28,,
"Dawson, Flynn and Delgado Printer 812",CODE-00204,Printer,Data Center 1,Heather Blankenship,True,2024-12-14,,
Downs-Lee Projector 160,CODE-00205,Projector,New York Office,Kimberly Klein,True,2021-08-08,,
Little LLC Monitor 315,CODE-00206,Monitor,New York Office,Kathryn Morris,True,2025-08-15,,
"Gray, Williams and Cohen Router 668",CODE-00207,Router,Data Center 1,Troy Ross,True,2025-07-11,,
"Delacruz, Le and Wright Server 369",CODE-00208,Server,Building A,Gregory Wise,True,2023-02-11,,
Arnold-Fleming Desktop 678,CODE-00209,Desktop,Storage Room,Gregory Gilmore,True,2022-10-06,,
Murphy-Flynn Monitor 439,CODE-00210,Monitor,London Office,Jessica Martinez,True,2021-06-17,,
Chapman-Good Laptop 589,CODE-00211,Laptop,Storage Room,Rhonda Shepherd,True,2024-11-29,,
Williams-Sanders Projector 115,CODE-00212,Projector,New York Office,Kimberly Jones,True,2021-05-10,,
Bennett-Kelly Router 788,CODE-00213,Router,Building A,Mary Hall,True,2021-03-04,,
Butler-Williams Phone 551,CODE-00214,Phone,Data Center 1,Timothy Burton,True,2024-12-09,,
Williams LLC Printer 215,CODE-00215,Printer,Storage Room,Robert Swanson,True,2024-11-24,,
Atkinson-Rodriguez Desktop 933,CODE-00216,Desktop,London Office,Cynthia Moore,True,2023-04-14,,
Henry-Richards Laptop 147,CODE-00217,Laptop,New York Office,John Mitchell,True,2022-01-05,,
"Williams, Benson and Becker Router 349",CODE-00218,Router,New York Office,Omar Jones,True,2021-10-02,,
"Wolfe, Russell and Nguyen Server 697",CODE-00219,Server,Data Center 1,Patricia Ford,True,2022-08-10,,
"Rogers, Hernandez and Bartlett Printer 967",CODE-00220,Printer,London Office,Gregory Fernandez,True,2025-06-09,,
"Davis, Morrison and Brown Phone 351",CODE-00221,Phone,Building A,Jose Rodriguez,True,2022-03-04,,
White Inc Desktop 557,CODE-00222,Desktop,Building B,Ashley Wolf,True,2025-03-23,,
"Wiley, Boyer and Anderson Monitor 384",CODE-00223,Monitor,Building A,Bryan Rios,True,2025-09-22,,
"Thompson, Thompson and Valencia Monitor 539",CODE-00224,Monitor,Remote (Home),Gregory Ramirez,True,2021-01-12,,
Wilkinson PLC Monitor 761,CODE-00225,Monitor,New York Office,Matthew Vazquez,True,2023-12-28,,
"Jones, Dean and Mathews Router 307",CODE-00226,Router,Building B,Daniel Hampton,True,2022-03-11,,
"Coleman, Simpson and Campbell Laptop 443",CODE-00227,Laptop,Building A,Joseph Crawford,True,2021-12-16,,
Williams-Torres Laptop 372,CODE-00228,Laptop,New York Office,Jessica Hebert,True,2023-07-22,,
Mcdowell PLC Software License 827,CODE-00229,Software License,Remote (Home),Dan Huff,True,2024-05-01,,
"Banks, Dunn and Bradley Software License 588",CODE-00230,Software License,New York Office,Laura Aguilar,True,2023-01-29,,
"Smith, Medina and Osborne Software License 306",CODE-00231,Software License,London Office,Jeremy Hebert DDS,False,2025-10-09,2025-10-27,
Watkins-Bolton Desktop 570,CODE-00232,Desktop,Remote (Home),Jose Gallagher,True,2023-12-10,,
Williams-Day Desktop 213,CODE-00233,Desktop,Building B,Ryan Ford,True,2023-12-15,,
Gardner PLC Server 427,CODE-00234,Server,Remote (Home),Alexander Duran,True,2023-03-28,,
Clark LLC Printer 721,CODE-00235,Printer,Storage Room,Mario Mcpherson,True,2022-08-15,,
"Kelley, Baker and Martin Desktop 374",CODE-00236,Desktop,London Office,Ruth Velazquez,True,2023-07-29,,
Brown and Sons Printer 469,CODE-00237,Printer,Building B,Justin Stone,True,2025-03-01,,
"Wilkins, Stafford and Merritt Phone 560",CODE-00238,Phone,New York Office,Alexander Thomas,False,2021-02-12,2025-01-13,
"Chavez, Wiggins and Savage Monitor 511",CODE-00239,Monitor,Building A,Frank Patterson,True,2021-04-12,,
Khan-Richardson Projector 872,CODE-00240,Projector,Building A,Kimberly Ellis,True,2022-04-23,,
"Moss, Elliott and Brown Server 610",CODE-00241,Server,Storage Room,Daryl Contreras,True,2021-04-10,,
"Myers, Howard and Galvan Laptop 477",CODE-00242,Laptop,Building B,Jill Sims,True,2025-10-25,,
Green Ltd Printer 129,CODE-00243,Printer,New York Office,Rachel Dorsey,True,2024-01-18,,
Nichols Inc Desktop 240,CODE-00244,Desktop,New York Office,Joshua Smith,True,2025-03-11,,
"Noble, Henderson and Marshall Software License 141",CODE-00245,Software License,Data Center 1,Tommy Herman,True,2023-07-11,,
Henry LLC Router 553,CODE-00246,Router,Storage Room,Vanessa Richards,False,2023-09-07,2024-06-16,
White-Stewart Desktop 685,CODE-00247,Desktop,Storage Room,Mary Doyle,True,2022-01-22,,
Johnson-Bennett Printer 944,CODE-00248,Printer,Building B,Kimberly Lopez,True,2022-03-16,,
Casey Group Printer 798,CODE-00249,Printer,London Office,Daniel Roberts,True,2025-05-27,,
Rogers-Mcdonald Laptop 739,CODE-00250,Laptop,Data Center 1,Mr. Jason Mullins,True,2021-11-16,,
"Lewis, Suarez and Brown Laptop 291",CODE-00251,Laptop,Building B,Margaret Kaufman,True,2022-01-21,,
"Lucas, Moreno and Townsend Monitor 498",CODE-00252,Monitor,New York Office,Nicole Howard DDS,True,2024-04-06,,
Stevenson Ltd Printer 771,CODE-00253,Printer,Data Center 1,Sarah Golden,True,2022-05-22,,
Smith Ltd Desktop 578,CODE-00254,Desktop,Remote (Home),Beth Li,True,2023-11-26,,
Fox-Brown Monitor 561,CODE-00255,Monitor,Building B,Thomas Martin DDS,True,2024-09-15,,
Martin Group Monitor 761,CODE-00256,Monitor,Storage Room,Daniel Liu,True,2024-10-28,,
Hensley-Hall Server 591,CODE-00257,Server,New York Office,Mark Wilson,True,2023-11-22,,
Johnston-Crawford Software License 810,CODE-00258,Software License,Data Center 1,Susan King,False,2022-08-11,2023-07-25,
"Waller, Williams and Williams Desktop 996",CODE-00259,Desktop,London Office,Joseph Thomas,True,2021-04-29,,
Clarke-Stanley Monitor 739,CODE-00260,Monitor,Data Center 1,Angela Myers,True,2024-08-04,,
"Jimenez, Barr and Mays Desktop 186",CODE-00261,Desktop,New York Office,Kimberly Arnold,False,2022-01-12,2024-03-13,
"Meyer, Bailey and Walls Projector 965",CODE-00262,Projector,London Office,Melissa Anderson,True,2021-06-04,,
Daniels Ltd Server 215,CODE-00263,Server,Building A,Mr. Mark Hughes,True,2023-01-18,,
